43464.ST;STOCKWIK FORVALTNING;STAY LONG;0.033;0.034;0.033;0.033;-2.94;738,756
43720.ST;MYCRONIC;STAY LONG;75;76;74.5;75;0.33;299,313
43825.ST;I.A.R SYSTEMS GROUP;STAY SHORT;170;170.5;169;170;0;7,83
47307.ST;NORDIC LEISURE;SELL;13.7;13.7;12.85;13.55;-1.09;262,745
66669.ST;ALLTELE;STAY LONG;17.6;18;17.6;17.9;2.29;3,955
A1M.ST;A1M;STAY LONG;10.5;10.85;10;10.35;3.5;20,207
A1M-TO.ST;A1M PHARMA SUBSCR OPT;STAY SHORT;0.04;0.056;0.04;0.046;21.05;335,846
AAC.ST;AAC MICROTEC;STAY LONG;5.2;5.5;5.05;5.4;6.93;362,917
AAC-TO1.ST;AAC MICROTEC SUBSCR OPT;STAY IN CASH;0.256;0.325;0.256;0.3;6.38;101,976
AAK.ST;AARHUSKARLSHAMN;STAY SHORT;585;587;579.5;579.5;-0.69;23,992
AAP-B.ST;ARC AROMA;STAY LONG;87.25;88.5;85.25;87.25;1.75;11,408
ABB.ST;ABB LTD N;STAY LONG;185.1;186.9;184.7;186.1;1.36;1,065,681
ABIGR.NGM;ABELCO INVESTMENT GROUP;STAY SHORT;0.28;0.285;0.272;0.28;-1.06;783,63
ACAD.ST;ACADEMEDIA;STAY LONG;55.75;56.25;55.25;55.5;-0.45;57,087
ACAN-B.ST;ACANDO;STAY LONG;27.4;28;27.3;27.7;1.47;156,42
ACARIX.ST;ACARIX;STAY SHORT;19.9;19.9;18.1;18.9;1.61;6,036
ACM.ST;A CITY MEDIA;STAY IN CASH;88.5;88.5;86.5;86.75;-1.14;3,195
ACTI.ST;ACTIVE BIOTECH;STAY IN CASH;4.3;4.36;4.24;4.36;2.35;46,059
ADDERA.ST;ADDERACARE;STAY SHORT;12.65;12.95;12.65;12.95;1.17;77
ADDT-B.ST;ADDTECH B;STAY LONG;153;153;150;152;-2.25;176,347
ADDV-B.ST;ADDVISE GROUP;STAY LONG;1.89;1.89;1.79;1.84;3.95;1,589,709
ADVE.ST;ADVENICA;BUY;14.6;14.9;14.6;14.9;1.02;2,329
AERO.ST;SVENSKA AEROGEL HOLDING;STAY SHORT;9.7;9.7;9.4;9.5;1.06;16,635
AF-B.ST;AF B;STAY LONG;174;177.6;173.5;176;1.5;53,747
AGES-B.ST;AGES INDUSTRI;STAY LONG;110.75;114;110.75;113;1.35;2,788
AGORA-PREF.ST;AGORA PREF PRF;SHORT;265;265;264.5;264.5;-0.19;500
AGRO.ST;AGROMINO;STAY LONG;22.6;22.6;21.5;22.3;-1.33;47,216
AHSL.ST;AHLSELL;BUY;55.25;55.95;55.25;55.75;0.36;248,772
AIK-B.NGM;AIK FOTBALL B;STAY SHORT;1.85;1.92;1.85;1.92;1.05;183
AINO.ST;AINO HEALTH;STAY SHORT;11.55;11.85;10.8;11.6;0.43;4,15
AKEL-PREF.ST;AKELIUS RESIDENTIAL PREF PRF;BUY;328;330.5;328;328.5;0.15;38,021
ALCA.ST;ALCADON GROUP;STAY LONG;39;39;38.5;39;1.3;4,819
ALELIO.ST;ALELION ENERGY SYSTEMS;BUY;10.1;10.2;9.95;10.15;0;13,287
ALELIO-TO-1.ST;ALELION ENERGY SYSTEMS SUBSCR OPT;STAY LONG;0.82;0.9;0.815;0.9;0;77,484
ALFA.ST;ALFA LAVAL;STAY LONG;180.1;184.1;180.1;182.9;1.61;1,261,474
ALIF-B.ST;ADDLIFE;STAY IN CASH;173;174.5;170;170;0;739
ALIG.ST;ALIMAK GROUP;STAY SHORT;136.25;138.25;136;137;-0.36;19,791
ALIRA-B.ST;ALIGERA;STAY LONG;2.8;2.9;2.8;2.9;0;1,25
ALIV-SDB.ST;AUTOLIV SDR;STAY SHORT;865.5;875;862;872.5;1.34;422,906
ALLG-B.ST;ALLGON B;STAY IN CASH;11;11;10.6;10.7;-2.73;33,091
ALM-PREF.ST;ALM PRF;STAY IN CASH;110.5;110.5;109.5;110;-0.23;2,42
ALON-B.NGM;ARCHELON;STAY LONG;0.19;0.2;0.185;0.2;5.26;102,155
AM1S.ST;AHLSTROM-MUNKSJO;STAY LONG;175.4;180.2;173.1;177.9;3.61;9,6
AMAST.ST;AMSTEN HOLDING B;STAY LONG;3.47;3.53;3.46;3.5;0.86;358,571
AMAST-PREF.ST;AMASTEN HOLDING PREF SHS;STAY IN CASH;305.5;305.5;305;305.5;1.16;203
AMBEA.ST;AMBEA;STAY SHORT;87.75;88.5;87.75;88;0.28;37,704
ANNX.ST;ANNEXIN PHARMACEUTICALS;STAY SHORT;7.4;7.4;7;7.2;3.6;971
ANOD-B.ST;ADDNODE GROUP;STAY LONG;78;79.5;75.5;75.5;-1.63;6,061
ANOT.ST;ANOTO GROUP;STAY LONG;0.36;0.366;0.335;0.339;-4.51;73,531,330
AOI.ST;AFRICA OIL;STAY LONG;11.2;11.2;10.75;10.8;-2.35;1,190,079
AQ.ST;AROS QUALITY;STAY LONG;210;215;207;215;2.38;10,686
ARCM.ST;ARCAM;STAY LONG;340;340;334;340;0;120
ARCOMA.ST;ARCOMA;STAY LONG;7.3;7.3;7.05;7.25;-1.36;1,579
ARCT.ST;ARCTIC GOLD;STAY IN CASH;0.4;0.403;0.4;0.402;0.75;902
ARISE.ST;ARISE AB;SELL;14.75;14.8;14.3;14.6;-1.35;28,283
AROC.ST;AROCELL;STAY IN CASH;5.7;5.7;5.45;5.45;-1.8;8,21
ARP.ST;ARCTIC PAPER;STAY LONG;10.45;10.65;10.4;10.45;0;7,769
ASSA-B.ST;ASSA ABLOY B;BUY;172;174.4;172;174;1.28;3,397,622
ATCO-A.ST;ATLAS COPCO A;STAY IN CASH;313.6;314.4;311.7;314;0.83;2,414,384
ATCO-B.ST;ATLAS COPCO B;STAY IN CASH;285.4;287.4;284.1;284.8;0.42;1,734,833
ATIC.ST;ACTIC GROUP;STAY SHORT;41.2;41.6;41;41;-0.24;3,193
ATORX.ST;ALLIGATOR BIOSCIENCE;BUY;26.6;27.6;26.5;27;1.5;13,206
ATRLJ-B.ST;ATRIUM LJUNGBERG B;BUY;140.5;143.5;140.3;141.9;0.5;15,003
ATT.ST;ATTENDO;STAY IN CASH;98;99.1;96.8;98.5;0.61;97,802
AUR.ST;AURIANT MINING;STAY SHORT;2.42;2.45;2.4;2.42;0.83;106,976
AUTO.ST;VA AUTOMOTIVE;STAY IN CASH;2.03;2.03;1.93;2.01;2.03;215,635
AVEG-B.ST;AVEGA GROUP ser. B;STAY LONG;28.5;29.6;28.5;29.1;2.46;35,786
AVEN.ST;AVENSIA;STAY LONG;8.7;8.8;8.4;8.8;0;14,843
AVT-B.ST;AVTECH SWEDEN;STAY LONG;4.19;4.2;4;4.05;-2.41;9,119
AXFO.ST;AXFOOD;STAY IN CASH;140.8;141.9;140.5;140.8;0.14;326,201
AXIC-A.ST;AXICHEM A;STAY LONG;12.8;12.9;12.8;12.9;0.78;3,163
AXIS.ST;AXIS;STAY IN CASH;348;348;339.5;339.6;-0.99;628
AZA.ST;AVANZA BANK HOLDING;STAY LONG;333.3;335.1;332.1;332.5;-0.06;19,142
AZN.ST;ASTRAZENECA;STAY LONG;472.3;483;471.5;481.6;2.01;666,265
B3IT.ST;B3IT MANAGEMENT;STAY LONG;82.5;82.5;79.25;81.25;-0.61;3,111
BACTI-B.ST;BACTIGUARD HOLD;STAY LONG;22.1;22.1;21.1;21.7;-2.69;10,62
BALD-B.ST;FASTIGHETS BALDER B;STAY LONG;210;210.2;208.1;208.6;-0.33;130,007
BALD-PREF.ST;FASTIGHETS AB BALDER PRF;STAY LONG;349;349.6;348.5;348.6;0.03;51,403
BAYN.ST;BAYN EUROPE;BUY;2.2;2.3;2.14;2.24;5.66;129,134
BEGR.ST;BE GROUP;STAY LONG;52.75;53.75;52.5;52.5;-0.47;34,923
BEIA-B.ST;BEIJER ALMA B;STAY IN CASH;235;239;235;238;1.49;1,856
BEIJ-B.ST;BEIJER REF AB;STAY LONG;254;260;252.5;254.5;1.6;3,905
BELE.ST;BEIJER ELECTRONICS GROUP;STAY SHORT;38.9;39;38;38.5;2.12;10,49
BERG-B.ST;BERGMAN & BEVING;BUY;93.5;97.75;93.5;96.25;2.67;94,548
BESQ.ST;BESQAB PROJEKT & FASTIGHETER;STAY SHORT;140;143.5;139.25;142;1.43;4,933
BETS-B.ST;BETSSON B;STAY LONG;74.7;75.1;74.3;74.7;0.67;312,154
BILI-A.ST;BILIA A;STAY LONG;83.25;85.5;83.25;84.25;1.81;287,602
