NAME;URL;VALUE;
COPP-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;9,569.56;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST
CE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;6,548.86;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST
SERT.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SERT.ST;5,884.45;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SERT.ST
SAVOS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;4,898.73;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST
SALT-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-B.ST;3,860.82;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-B.ST
FRIM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRIM.ST;3,854.64;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRIM.ST
CI-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CI-B.ST;3,506.45;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CI-B.ST
PCELL.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PCELL.ST;3,160.89;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PCELL.ST
BIM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;2,980.28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST
MYFC.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MYFC.ST;2,930.31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MYFC.ST
G5EN.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;2,511.18;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST
PREC.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PREC.ST;2,287.98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PREC.ST
SANION.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SANION.ST;2,053.73;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SANION.ST
FING-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FING-B.ST;1,885.14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FING-B.ST
NXTMS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST;1,844.71;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST
ENDO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENDO.ST;1,660.51;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENDO.ST
ORTI-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORTI-A.ST;1,529.41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORTI-A.ST
BRIG.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST;1,485.68;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST
BOUL.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST;1,412.90;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST
TMG.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TMG.ST;1,342.04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TMG.ST
AUR.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUR.ST;1,290.27;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUR.ST
ENQ.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST;1,270.37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST
CBA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBA.ST;1,173.56;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBA.ST
ANOT.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOT.ST;1,166.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOT.ST
TRANS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST;1,135.04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST
NOMI.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOMI.ST;1,117.48;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOMI.ST
MEDR-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST;1,109.35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST
DIVI-B.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;1,030.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM
SNM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SNM.ST;1,029.90;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SNM.ST
SSAB-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-B.ST;997.74;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-B.ST
SALT-TO-2B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-TO-2B.ST;990.02;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-TO-2B.ST
AAP-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;981.12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST
CEVI.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CEVI.ST;952.23;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CEVI.ST
GWS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GWS.ST;893.86;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GWS.ST
HMED.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMED.ST;867.03;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMED.ST
