NAMESHORT;NAME;URL;VALUE;NAME_NORDNET
COPP-B.ST;COPPERSTONE RESOURCE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;9,317.34;Copperstone Resources AB ser. B
CE.ST;CORTUS ENERGY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;8,496.77;Cortus Energy AB
SERT.ST;SERSTECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SERT.ST;5,239.01;Serstech AB
SAVOS.ST;SAVO SOLAR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;4,596.62;Savo-Solar Plc
FRIM.ST;ROBERT FRIMAN INTERNATIONAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRIM.ST;4,195.97;Robert Friman International AB
SALT-B.ST;SALTX TECHNOLOGY HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-B.ST;3,855.03;SaltX Technology Holding AB ser. B
CI-B.ST;CELL IMPACT B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CI-B.ST;3,388.09;Cell Impact AB ser. B
PCELL.ST;POWERCELL SWEDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PCELL.ST;3,366.83;PowerCell Sweden AB
MYFC.ST;MYFC HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MYFC.ST;3,313.17;myFC Holding AB
G5EN.ST;G5 ENTERTAINMENT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;2,473.07;G5 Entertainment AB
PREC.ST;PRECISE BIOMETRICS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PREC.ST;2,248.02;Precise Biometrics AB
SANION.ST;SANIONA A/S;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SANION.ST;2,152.47;Saniona AB
NXTMS.ST;NEXSTIM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST;1,869.23;Nexstim Oyj
BRIG.ST;BRIGHTER AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST;1,560.76;Brighter AB
BOUL.ST;BOULE DIAGNOSTICS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST;1,554.79;Boule Diagnostics AB
TMG.ST;THE MARKETING GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TMG.ST;1,549.58;The Marketing Group plc
ORTI-A.ST;ORTIVUS A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORTI-A.ST;1,529.41;Ortivus AB ser. B
BIM.ST;BIMOBJECT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;1,433.19;BIMobject AB
CBA.ST;CYBAERO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBA.ST;1,328.43;CybAero AB
