NAMESHORT;NAME;URL;VALUE
SAVOS.ST;SAVO SOLAR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;1,020.15
GAPW-TO-1B.ST;GAPWAVES SUBSCR OPT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GAPW-TO-1B.ST;859.94
MAV.ST;MAVSHACK AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAV.ST;693.34
SALT-TO-2B.ST;SALTX TECHNOLOGY HOLDING SUBSCR OPT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-TO-2B.ST;571.7
EOID.NGM;EYEONID GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;560.56
GAPW-B.ST;GAPWAVES;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GAPW-B.ST;495.08
SALT-B.ST;SALTX TECHNOLOGY HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-B.ST;425.27
BRIG-TO3.ST;BRIGHTER SUBSCR OPT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG-TO3.ST;389.73
ORTI-A.ST;ORTIVUS A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORTI-A.ST;385.31
CFISH.ST;CRUNCHFISH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CFISH.ST;347.43
MAHA-A-TO-1.ST;MAHA ENERGY SUBSCR OPT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAHA-A-TO-1.ST;336.01
HEMC.ST;HEMCHECK SWEDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC.ST;319.18
CBA.ST;CYBAERO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBA.ST;318.98
CE.ST;CORTUS ENERGY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;318.16
MEDR-B.ST;MEDIRATT B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST;314.75
