NAMESHORT;URL;VALUE;NAME
COPP-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;9,569.56;test1
CE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;6,548.86;test2
SERT.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SERT.ST;5,884.45;test3
SAVOS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;4,898.73;test4
SALT-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-B.ST;3,860.82;test5
FRIM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRIM.ST;3,854.64;test6
CI-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CI-B.ST;3,506.45;test7
PCELL.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PCELL.ST;3,160.89;test8
BIM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;2,980.28;test9
MYFC.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MYFC.ST;2,930.31;test10
G5EN.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;2,511.18;test11
PREC.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PREC.ST;2,287.98;test12
SANION.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SANION.ST;2,053.73;test13
FING-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FING-B.ST;1,885.14;test14
NXTMS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST;1,844.71;test15
ENDO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENDO.ST;1,660.51;test16
ORTI-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORTI-A.ST;1,529.41;test17
BRIG.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST;1,485.68;test18
BOUL.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST;1,412.90;test19
TMG.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TMG.ST;1,342.04;test20
AUR.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUR.ST;1,290.27;test21
ENQ.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST;1,270.37;test22
CBA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBA.ST;1,173.56;test23
ANOT.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOT.ST;1,166.16;test24
TRANS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST;1,135.04;test25
NOMI.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOMI.ST;1,117.48;test26
MEDR-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST;1,109.35;test27
DIVI-B.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;1,030.16;test28
SNM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SNM.ST;1,029.90;test29
SSAB-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-B.ST;997.74;test30
SALT-TO-2B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-TO-2B.ST;990.02;test31
AAP-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;981.12;test32
CEVI.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CEVI.ST;952.23;test33
GWS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GWS.ST;893.86;test34
HMED.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMED.ST;867.03;test35
SPIFFX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPIFFX.ST;818.14;test36
EOID.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;792.84;test37
VITR.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VITR.ST;776.04;test38
CLAV.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAV.ST;765.81;test39
SEAM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEAM.ST;765.56;test40
KARO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KARO.ST;764.01;test41
SSAB-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-A.ST;750.46;test42
IMPC.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMPC.ST;713.08;test43
ENRO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO.ST;672.23;test44
NVP.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NVP.ST;642.67;test45
PROB.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROB.ST;631.37;test46
IMMNOV.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMNOV.ST;614.77;test47
ARCM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCM.ST;611.64;test48
ORX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORX.ST;592.16;test49
DEDI.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEDI.ST;560.51;test50
ORIF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORIF.ST;557.31;test51
EPIS-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EPIS-B.ST;549.48;test52
CRAD-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;543.86;test53
IMMU.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMU.ST;537.66;test54
KAMBI.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAMBI.ST;518.58;test55
VICO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICO.ST;517.2;test56
BEGR.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;500.77;test57
IMNP.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMNP.ST;499.51;test58
MAG.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAG.ST;496.4;test59
JLT.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JLT.ST;490.9;test60
EVO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EVO.ST;489.01;test61
ZETA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZETA.ST;481.58;test62
MAV.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAV.ST;480.88;test63
MCNH.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MCNH.NGM;467.17;test64
DOME.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOME.ST;454.07;test65
IBT-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IBT-B.ST;450.87;test66
BINV.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BINV.ST;449.66;test67
PXXS-SDB.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PXXS-SDB.ST;446.06;test68
HTRO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST;438.28;test69
CLS-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLS-B.ST;436.43;test70
HOVD.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOVD.ST;433.01;test71
ACTI.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;425.13;test72
HELIO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HELIO.ST;421.4;test73
SPOR.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPOR.ST;418.27;test74
KOBR%20MTFB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KOBR%20MTFB;418;test75
SENS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SENS.ST;416.32;test76
NETI-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NETI-B.ST;410.17;test77
BIOT.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;410.05;test78
STAR-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STAR-A.ST;406.83;test79
MRG.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MRG.ST;405.7;test80
BACTI-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;405.05;test81
SMF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SMF.ST;404.24;test82
SES.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST;400.89;test83
FEEL.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FEEL.ST;400.55;test84
43720.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;399.9;test85
CTT.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;397.77;test86
POLY.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=POLY.ST;393.75;test87
KOPY.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KOPY.ST;382.38;test88
OASM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OASM.ST;379.36;test89
CRWN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRWN;376.89;test90
TETY.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TETY.ST;373.82;test91
A1M.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;367.09;test92
WINT.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WINT.ST;363.8;test93
QLRO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=QLRO.ST;362.53;test94
TOBII.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TOBII.ST;358.68;test95
BESQ.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BESQ.ST;354.23;test96
HEMC.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC.ST;352.92;test97
GTGS.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTGS.NGM;351.08;test98
MERT-A.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MERT-A.NGM;348.23;test99
AGRO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGRO.ST;346.99;test100
MSAB-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSAB-B.ST;344.19;test101
HIQ.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HIQ.ST;343.11;test102
STIL.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STIL.ST;338.29;test103
LIFCO-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIFCO-B.ST;337.98;test104
DORO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DORO.ST;337.7;test105
XANO-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XANO-B.ST;333.72;test106
ALIG.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIG.ST;331.67;test107
VICP-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP-B.ST;330.87;test108
CLBIO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLBIO.ST;327.63;test109
RAY-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST;326.97;test110
VSSAB-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VSSAB-B.ST;325.6;test111
TROAX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TROAX.ST;324.86;test112
OP.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OP.ST;321.99;test113
TASTE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TASTE.ST;321.7;test114
ALIV-SDB.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIV-SDB.ST;320.27;test115
RLS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RLS.ST;320.16;test116
BERG-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BERG-B.ST;319.27;test117
KABE-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KABE-B.ST;315.57;test118
ETX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ETX.ST;314.76;test119
BURE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BURE.ST;314.42;test120
LUC.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUC.ST;314.23;test121
GCOR.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GCOR.ST;313.01;test122
BOL.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOL.ST;312.77;test123
AZA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZA.ST;310.84;test124
SEMC.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEMC.ST;309.07;test125
ITAB-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ITAB-B.ST;308.58;test126
FPAR.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPAR.ST;308.18;test127
OPUS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OPUS.ST;305.52;test128
MIC-SDB.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MIC-SDB.ST;304.15;test129
BAYN.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BAYN.ST;302.68;test130
CLEM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEM.ST;302.46;test131
FOI-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FOI-B.ST;301.8;test132
EKTA-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EKTA-B.ST;299.3;test133
MOB.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MOB.ST;299.26;test134
PRIME.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRIME.ST;299.03;test135
CAMX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAMX.ST;298.97;test136
BUFAB.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUFAB.ST;296.05;test137
DIGN.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIGN.ST;295.32;test138
ELAN-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELAN-B.ST;295.04;test139
ADVE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADVE.ST;294.7;test140
STAR-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STAR-B.ST;291.31;test141
SAS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAS.ST;289.61;test142
SDOS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SDOS.ST;287.12;test143
ARCT.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCT.ST;286.34;test144
BIOG-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOG-B.ST;286.16;test145
LOOM-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LOOM-B.ST;283.44;test146
COLL.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COLL.ST;282.01;test147
FAG.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FAG.ST;281.83;test148
COOR.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COOR.ST;281.44;test149
HMS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMS.ST;279.35;test150
VIT-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VIT-B.ST;277.4;test151
INDT.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDT.ST;277.38;test152
43825.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;277.35;test153
DCAR-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DCAR-B.ST;276.59;test154
SWEC-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWEC-A.ST;276.46;test155
FRNT-B.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRNT-B.NGM;272.75;test156
VICP.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP.ST;271.2;test157
DOXA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOXA.ST;270.39;test158
ACAN-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;270.11;test159
COGS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COGS.ST;269.56;test160
IVSO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVSO.ST;268.67;test161
KLOV-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-B.ST;268.22;test162
AOI.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AOI.ST;266.62;test163
GHP.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHP.ST;266.08;test164
ENRO-PREF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO-PREF.ST;265.85;test165
NDX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NDX.ST;264.21;test166
NEXAM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NEXAM.ST;262.01;test167
TREL-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TREL-B.ST;261.44;test168
KIND-SDB.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KIND-SDB.ST;257.22;test169
KINV-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KINV-A.ST;254.7;test170
WTX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WTX.ST;254.46;test171
PROF-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROF-B.ST;254.4;test172
PCAT.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PCAT.ST;254.26;test173
ICTA-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ICTA-B.ST;254.14;test174
JM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JM.ST;252.67;test175
GHUS-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHUS-B.ST;252.12;test176
KAHL.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAHL.ST;251.68;test177
SVIK.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVIK.ST;251.32;test178
AM1S.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AM1S.ST;251.17;test179
RATO-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RATO-A.ST;249.7;test180
HLDX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HLDX.ST;248.3;test181
IRLAB-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IRLAB-A.ST;247;test182
GOMX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GOMX.ST;246.26;test183
SAAB-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAAB-B.ST;246.21;test184
COMPI.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMPI.NGM;245.07;test185
LAGR-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAGR-B.ST;244.54;test186
EWRK.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EWRK.ST;244.52;test187
ORES.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORES.ST;241.95;test188
MVIR-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MVIR-B.ST;240;test189
VOLV-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLV-B.ST;239.34;test190
LUPE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUPE.ST;239.2;test191
NOLA-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOLA-B.ST;238.96;test192
SBB-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SBB-B.ST;238.36;test193
ENEA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENEA.ST;237.76;test194
DIST.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIST.ST;237.46;test195
MSC-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSC-B.ST;234.85;test196
CANTA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CANTA.ST;233.54;test197
NEWA-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NEWA-B.ST;233.29;test198
STE-R.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STE-R.ST;233.01;test199
SEZI.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEZI.ST;231.88;test200
XACT-BULL-2.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BULL-2.ST;231.58;test201
