DATE;TIME;DAY;ERROR_COUNTER;E_MSG;CALLING_FUNCTION
2018-02-27;13:16;Tuesday;1;"{'reason': 'OK',
 'status_code': '200',
 'url': 'https://www.nordnet.se/blikund/start.html'}";<module>
2018-02-27;13:25;Tuesday;1;;<module>
2018-02-27;13:26;Tuesday;1;HTTPSConnectionPool(host='www.swedihbulls.com', port=443): Max retries exceeded with url: /Signin.aspx?lang=en (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f4b810b6a90>: Failed to establish a new connection: [Errno -2] Name or service not known',));<module>
2018-02-27;13:33;Tuesday;1;400 Bad Request: The browser (or proxy) sent a request that this server could not understand.;<module>
2018-02-27;15:40;Tuesday;1;;isMaxStockHeldAndActive
2018-02-27;15:49;Tuesday;1;HTTPSConnectionPool(host='www.swedishbulls.com', port=443): Max retries exceeded with url: /Signin.aspx?lang=en (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f3d1dfdbb70>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution',));sbLogin
2018-02-27;15:49;Tuesday;2;'NoneType' object has no attribute 'find';sbGetSignal
2018-03-05;14:37;Monday;1;;sbGetSignal_afterMarketHours
2018-03-05;16:26;Monday;1;;isPriceWithinBuyLevel
2018-03-05;16:26;Monday;2;;isPriceWithinBuyLevel
2018-03-05;17:08;Monday;1;;sbGetSignal
2018-03-05;17:22;Monday;1;;sbGetSignal
2018-03-06;11:38;Tuesday;1;;isLastPriceWithinBenchmark
