NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PER_CHANGE;BUY_MEDIAN_FAILED_PER_CHANGE;BUY_AVERAGE_SUCCESS_PER_CHANGE;BUY_MEDIAN_SUCCESS_PER_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;URL_SB;URL_NN;COMPLIMENTARY_LIST;NAME_NORDNET;NAMESHORT_NORDNET;MARKET_ID;IDENTIFIER_ID
43464.ST;STOCKWIK FORVALTNING;0.0468;62.5;243;56.5;184;38.5;70;52.5;165;26;28.0;8.5;5.0;-5.01;-4.83;24.49;2.78;-3.5;2.45;1.49;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1007&marketid=11;YES;Stockwik Förvaltning AB;STWK;11;1007
43720.ST;MYCRONIC;106.8;66.7;123;59.4;139;65.1;271;63.7;177;31;64.5;5.34;2.23;-2.08;-2.03;8.81;3.22;0.56;4.14;1.05;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4714&marketid=11;YES;Mycronic AB;MYCR;11;4714
43825.ST;I.A.R SYSTEMS GROUP;230.0;55.6;125;64.0;142;64.4;214;61.3;160;29;65.5;2.96;1.77;-1.32;-0.56;4.63;4.36;1.86;1.78;1.0;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=2346&marketid=11;YES;I.A.R Systems Group AB ser. B;IAR B;11;2346
47307.ST;NORDIC LEISURE;27.1;72.2;198;55.9;465;54.7;839;60.9;500;32;58.1;7.21;3.55;-2.16;-1.82;15.01;11.69;5.23;7.02;1.07;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35508&marketid=11;YES;Nordic Leisure AB;NLAB;11;35508
66669.ST;ALLTELE;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1M.ST;A1M;4.95;60.0;158;57.5;185;59.2;494;58.9;279;38;51.4;8.06;3.92;-4.03;-3.2;9.58;4.13;-0.23;2.17;6.02;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93181&marketid=11;;A1M Pharma AB;A1M;11;93181
AAC.ST;AAC MICROTEC;6.66;71.4;192;60.0;453;59.4;422;63.6;355;16;40.0;11.25;5.49;-4.06;-3.03;30.34;20.27;5.49;8.9;1.73;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130711&marketid=11;;ÅAC Microtec AB;AAC;11;130711
AAK.ST;AARHUSKARLSHAMN;737.0;57.1;104;58.1;126;59.7;156;58.3;128;38;65.8;1.98;1.23;-1.09;-0.93;2.6;1.47;-0.15;0.54;1.04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36273&marketid=11;;AAK AB;AAK;11;36273
AAP-B.ST;ARC AROMA;39.7;61.1;142;60.0;275;57.6;1091;59.6;502;33;50.0;6.65;3.27;-2.16;-2.12;14.03;10.18;3.23;5.13;1.71;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93180&marketid=11;;Arc Aroma Pure AB;AAP B;11;93180
ABB.ST;ABB LTD N;197.6;64.7;111;63.6;137;59.4;185;62.6;144;34;64.7;2.12;1.08;-0.59;-0.43;3.43;1.75;0.18;1.21;1.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3966&marketid=11;;ABB Ltd;ABB;11;3966
ABIGR.NGM;ABELCO INVESTMENT GROUP;0.127;75.0;164;75.0;264;75.0;264;75.0;230;8;71.4;13.63;5.84;-2.27;-2.2;16.02;5.84;2.74;9.99;2.93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3SJQ&marketid=13;YES;Abelco Investment Group;ABIG MTF;13;3SJQ
ACAD.ST;ACADEMEDIA;54.4;47.4;107;60.0;142;64.7;199;57.4;149;25;62.5;3.64;1.84;-1.78;-1.2;5.19;5.24;2.03;1.78;1.19;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAD.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123363&marketid=11;;AcadeMedia AB;ACAD;11;123363
ACAN-B.ST;ACANDO;29.6;63.2;104;71.8;147;63.1;248;66.0;166;32;68.8;3.39;2.25;-1.44;-1.01;5.57;4.27;1.82;2.58;1.14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=981&marketid=11;;Acando AB ser. B;ACAN B;11;981
ACARIX.ST;ACARIX;8.16;46.7;96;51.5;82;48.6;77;48.9;85;17;29.4;5.62;3.04;-4.03;-3.18;7.96;4.83;-1.63;-1.3;2.38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACARIX.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=130710&marketid=11;;Acarix AB;ACARIX;11;130710
ACM.ST;A CITY MEDIA;125.5;71.4;144;53.1;152;50.0;350;58.2;215;32;51.6;5.59;3.04;-2.19;-1.28;10.39;6.95;2.17;3.5;1.22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACM.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=116111&marketid=11;;A City Media AB;ACM;11;116111
ACTI.ST;ACTIVE BIOTECH;3.52;66.7;250;79.3;427;71.4;1422;72.5;699;31;74.2;11.54;4.72;-8.84;-3.57;16.7;10.72;6.23;9.31;4.95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11;;Active Biotech AB;ACTI;11;877
ADDERA.ST;ADDERACARE;10.0;68.4;124;69.7;154;68.6;157;68.9;145;17;64.7;4.85;3.93;-3.23;-2.86;4.96;4.07;0.82;1.27;1.52;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDERA.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129533&marketid=11;;AdderaCare AB;ADDERA;11;129533
ADDT-B.ST;ADDTECH B;168.0;72.2;112;65.8;143;64.8;248;67.6;167;35;68.6;3.03;1.75;-1.58;-1.55;4.54;4.54;1.83;1.82;1.13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDT-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=14336&marketid=11;;Addtech AB ser. B;ADDT B;11;14336
ADDV-B.ST;ADDVISE GROUP;1.45;42.1;83;37.9;84;50.0;89;43.3;85;21;40.9;4.79;3.05;-2.38;-2.31;6.17;5.04;-0.1;0.32;1.54;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDV-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113184&marketid=11;;ADDvise Group AB B;ADDV B;11;113184
