NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PER_CHANGE;BUY_MEDIAN_FAILED_PER_CHANGE;BUY_AVERAGE_SUCCESS_PER_CHANGE;BUY_MEDIAN_SUCCESS_PER_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;PER_CHANGE_HIGHEST_THROUGH_CURRENT;URL_SB;URL_NN;COMPLIMENTARY_LIST;NAME_NORDNET;NAMESHORT_NORDNET;MARKET_ID;IDENTIFIER_ID;GROUP_BUY
G5EN.ST;G5 ENTERTAINMENT;305.2;65.0;161.0;61.1;269.0;64.5;1726.0;63.5;718.0;38.0;83.8;7.41;5.41;-3.54;-3.32;10.49;7.12;4.63;7.42;1.17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11;;G5 Entertainment AB;G5EN;11;60158;GROUP 1_mediumRisk
BIM.ST;BIMOBJECT;36.0;50.0;131.0;62.5;221.0;67.6;1548.0;60.0;633.0;34.0;69.7;7.84;3.36;-2.45;-2.59;14.01;7.4;3.57;8.22;1.05;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99204&marketid=11;;BIMobject AB;BIM;11;99204;GROUP 1_mediumRisk
PROB.ST;PROBI AB;438.4;66.7;151.0;71.4;205.0;68.7;983.0;68.9;446.0;33.0;66.7;7.31;3.56;-4.9;-2.42;13.76;7.14;3.16;6.75;1.39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROB.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27701&marketid=11;;Probi AB;PROB;11;27701;GROUP 1_mediumRisk
BEGR.ST;BE GROUP;49.0;61.1;118.0;58.3;192.0;59.4;385.0;59.6;231.0;32.0;67.7;4.88;2.62;-1.51;-1.28;7.87;6.36;3.09;4.04;1.35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11;;BE Group AB;BEGR;11;37309;GROUP 1_mediumRisk
ACTI.ST;ACTIVE BIOTECH;3.52;66.7;250.0;79.3;427.0;71.4;1422.0;72.5;699.0;31.0;74.2;11.54;4.72;-8.84;-3.57;16.7;10.72;6.23;9.31;4.95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11;;Active Biotech AB;ACTI;11;877;GROUP 2_highRisk
NXTMS.ST;NEXSTIM;2.08;46.2;94.0;61.3;163.0;67.9;1822.0;58.5;693.0;27.0;70.4;11.65;8.4;-5.36;-4.07;14.09;8.74;4.15;7.53;4.8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103571&marketid=11;;Nexstim Oyj;NXTMS;11;103571;GROUP 1_mediumRisk
MEDR-B.ST;MEDIRATT B;6.23;54.5;101.0;65.4;257.0;69.8;2389.0;63.2;915.0;26.0;65.4;16.8;12.33;-4.4;-4.15;27.0;18.45;9.83;15.34;2.57;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81251&marketid=11;;MediRätt AB;MEDR B;11;81251;GROUP 2_highRisk
EOID.NGM;EYEONID GROUP;11.5;70.0;173.0;68.4;946.0;72.9;2225.0;70.4;1114.0;24.0;73.9;12.77;7.6;-3.36;-3.55;20.64;11.95;7.1;13.58;1.52;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3EBY&marketid=13;YES;Eyeonid Group;EOID MTF;13;3EBY;GROUP 1_mediumRisk
IBT-B.ST;INFANT BACTERIAL THERAPEUTICS;115.0;53.3;190.0;53.6;454.0;63.8;1271.0;56.9;638.0;23.0;69.6;8.98;4.17;-1.95;-2.05;16.47;10.66;6.0;10.07;1.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IBT-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120381&marketid=11;;Infant Bacterial Therapeutics AB ser. B;IBT B;11;120381;GROUP 1_mediumRisk
PIEZO.ST;PIEZOMOTOR UPPSALA;47.2;76.9;328.0;75.9;519.0;66.0;653.0;72.9;500.0;23.0;73.9;8.76;4.33;-3.91;-4.04;14.68;8.19;4.2;9.03;1.15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PIEZO.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123299&marketid=11;;PiezoMotor Uppsala AB;PIEZO;11;123299;GROUP 1_mediumRisk
